_ZN12MapOverworldC2Ejj kind:function(arm,size=0x1ac) addr:0x0215b4a0
_ZN12MapOverworldD1Ev kind:function(arm,size=0x10c) addr:0x0215b64c
_ZN12MapOverworldD0Ev kind:function(arm,size=0x114) addr:0x0215b758
_ZN12MapOverworld8vfunc_08EjjP6Course kind:function(arm,size=0x518) addr:0x0215b86c
_ZN12MapOverworld8vfunc_14Ev kind:function(arm,size=0x134) addr:0x0215bd84
_ZN12MapOverworld8vfunc_1cEb kind:function(arm,size=0x110) addr:0x0215beb8
_ZN12MapOverworld19func_ov018_0215bfc8Ev kind:function(arm,size=0x17c) addr:0x0215bfc8
_ZN12MapOverworld8vfunc_20Ei kind:function(arm,size=0x84) addr:0x0215c144
_ZN12MapOverworld8vfunc_2cEv kind:function(arm,size=0xb4) addr:0x0215c1c8
_ZN12MapOverworld8vfunc_94Ev kind:function(arm,size=0x8) addr:0x0215c27c
_ZN12MapOverworld8vfunc_a4Ev kind:function(arm,size=0xc) addr:0x0215c284
_ZN12MapOverworld8vfunc_54Ev kind:function(arm,size=0x20) addr:0x0215c290
_ZN12MapOverworld8vfunc_58Ev kind:function(arm,size=0x30) addr:0x0215c2b0
_ZN12MapOverworld8vfunc_5cEv kind:function(arm,size=0x20) addr:0x0215c2e0
_ZN12MapOverworld8vfunc_60Ev kind:function(arm,size=0x2c) addr:0x0215c300
_ZN12MapOverworld8vfunc_64Ev kind:function(arm,size=0x20) addr:0x0215c32c
_ZN12MapOverworld19func_ov018_0215c34cEv kind:function(arm,size=0x1c) addr:0x0215c34c
_ZN12MapOverworld19func_ov018_0215c368Ev kind:function(arm,size=0x18) addr:0x0215c368
_ZN12MapOverworld19func_ov018_0215c380EPh kind:function(arm,size=0x20) addr:0x0215c380
_ZN12MapOverworld8vfunc_bcEv kind:function(arm,size=0x20) addr:0x0215c3a0
_ZN12MapOverworld8vfunc_98Ev kind:function(arm,size=0x68) addr:0x0215c3c0
_ZN12MapOverworld8vfunc_c0Ev kind:function(arm,size=0x20) addr:0x0215c428
_ZN12MapOverworld8vfunc_78Ev kind:function(arm,size=0x18) addr:0x0215c448
_ZN12MapOverworld8vfunc_7cEv kind:function(arm,size=0x164) addr:0x0215c460
_ZN12MapOverworld8vfunc_80Ev kind:function(arm,size=0x44) addr:0x0215c5c4
_ZN12MapOverworld8vfunc_b0Eii kind:function(arm,size=0x48) addr:0x0215c608
_ZN12MapOverworld19func_ov018_0215c650Ev kind:function(arm,size=0x5c) addr:0x0215c650
_ZN12MapOverworld19func_ov018_0215c6acEv kind:function(arm,size=0x24) addr:0x0215c6ac
_ZN12MapOverworld19func_ov018_0215c6d0Ev kind:function(arm,size=0x24c) addr:0x0215c6d0
_ZN17MapOverworld_Unk1C2EjPhi kind:function(arm,size=0x48) addr:0x0215c91c
_ZN17MapOverworld_Unk1C1EjPhi kind:function(arm,size=0x48) addr:0x0215c964
_ZN12MapOverworld19func_ov018_0215c9acEv kind:function(arm,size=0x78) addr:0x0215c9ac
_Z19func_ov018_0215ca24i kind:function(arm,size=0x18) addr:0x0215ca24
_Z19func_ov018_0215ca3ciiii kind:function(arm,size=0x50) addr:0x0215ca3c
_Z19func_ov018_0215ca8ci kind:function(arm,size=0x18) addr:0x0215ca8c
_ZN12MapOverworld8vfunc_4cEv kind:function(arm,size=0x8) addr:0x0215caa4
func_ov018_0215caac kind:function(arm,size=0x7c) addr:0x0215caac
func_ov018_0215cb28 kind:function(arm,size=0x4c) addr:0x0215cb28
func_ov018_0215cb74 kind:function(arm,size=0xcc) addr:0x0215cb74
func_ov018_0215cc40 kind:function(arm,size=0xd0) addr:0x0215cc40
func_ov018_0215cd10 kind:function(arm,size=0x7c) addr:0x0215cd10
func_ov018_0215cd8c kind:function(arm,size=0x10) addr:0x0215cd8c
func_ov018_0215cd9c kind:function(arm,size=0x18) addr:0x0215cd9c
func_ov018_0215cdb4 kind:function(arm,size=0x90) addr:0x0215cdb4
func_ov018_0215ce44 kind:function(arm,size=0x44) addr:0x0215ce44
func_ov018_0215ce88 kind:function(arm,size=0x2c) addr:0x0215ce88
func_ov018_0215ceb4 kind:function(arm,size=0x30) addr:0x0215ceb4
func_ov018_0215cee4 kind:function(arm,size=0x10) addr:0x0215cee4
func_ov018_0215cef4 kind:function(arm,size=0x6c) addr:0x0215cef4
func_ov018_0215cf60 kind:function(arm,size=0x30) addr:0x0215cf60
func_ov018_0215cf90 kind:function(arm,size=0x1c) addr:0x0215cf90
func_ov018_0215cfac kind:function(arm,size=0xb4) addr:0x0215cfac
func_ov018_0215d060 kind:function(arm,size=0x50) addr:0x0215d060
func_ov018_0215d0b0 kind:function(arm,size=0x138) addr:0x0215d0b0
func_ov018_0215d1e8 kind:function(arm,size=0x4) addr:0x0215d1e8
func_ov018_0215d1ec kind:function(arm,size=0x4c) addr:0x0215d1ec
func_ov018_0215d238 kind:function(arm,size=0x54) addr:0x0215d238
